bib,isbn,bookType,title,publishDate,publishOrder,firstCheckOut,lastCheckOut,adoption,publishDay,fcheckoutDay,ageFull,ageCheckouts,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,totalCheckout,deweyNumber,deweyCategory
2399777,786849398,jcbk,Check it out,2/2/07,244,3/8/07,9/21/09,34,32,66,3529,3220,0,22,16,9,0,0,0,0,0,0,47,741,Drawing & drawings
2411221,195313992,acbk,Sterling A Brow,2/3/07,245,6/4/07,5/11/14,121,33,154,3528,3132,0,4,0,0,1,1,0,1,1,1,9,975,Southeastern United States (South Atlantic states)
2666078,809557363,acbk,Go to Helena Ha,2/4/07,246,7/14/10,5/19/14,1256,34,194,3527,1996,0,0,0,0,6,7,2,3,2,1,21,155, Differential & developmental psychology
2405982,1580801439,acbk,Come hell and h,2/5/07,247,5/5/07,7/7/13,89,35,124,3526,3162,0,23,4,3,5,3,0,1,0,0,39,910,Geography & travel
2399448,374217009,acbk,high road to Ch,2/6/07,248,3/2/07,1/16/15,24,36,60,3525,3226,0,33,16,1,0,1,0,0,1,2,54,951, China & adjacent areas
2397799,787981974,acbk,Momfulness moth,2/7/07,249,4/5/07,12/16/14,57,37,94,3524,3192,0,18,22,9,10,8,1,2,2,4,76,204,"Religious experience, life, practice"
2389079,618735410,acbk,Devotion,2/8/07,250,2/27/07,12/20/14,19,38,57,3523,3229,0,59,14,5,11,3,3,1,2,1,99,333, Economics of land & energy
2399407,1570036608,acbk,Army 101 inside,2/9/07,251,3/15/07,10/28/10,34,39,73,3522,3213,0,11,8,1,4,0,0,0,0,0,24,355, Military science
2397959,849901332,acbk,God has a dream,2/13/07,252,3/22/07,8/10/11,37,43,80,3518,3206,0,11,4,3,1,2,0,0,0,0,21,248," Christian experience, practice, life"
2420253,1551095696,acbk,East coast rug,2/14/07,253,8/17/07,11/10/14,184,44,228,3517,3058,0,5,5,10,5,8,5,4,4,5,51,746, Textile arts
2725672,098258881X,acbk,Played,2/14/07,254,7/11/11,9/22/14,1608,44,191,3517,1634,0,0,0,0,0,31,20,9,3,0,63,917,Geography of & travel in North America
2413935,1933995009,acbk,Leviathan on th,2/16/07,255,5/4/07,11/28/11,77,46,123,3515,3163,0,15,3,0,0,2,0,0,0,0,20,324,The political process
2393121,393060608,acbk,My father befor,2/17/07,256,3/9/07,6/16/14,20,47,67,3514,3219,0,24,11,5,3,3,1,1,1,0,49,306, Culture & institutions
2396377,892960701,acbk,Picasso flop,2/21/07,257,3/12/07,1/9/12,19,51,70,3510,3216,0,43,14,7,9,6,1,0,0,0,80,944, France & Monaco
2495748,977416010X,acbk,Nubian pharaohs,2/22/07,258,6/30/08,11/8/14,494,52,181,3509,2740,0,0,2,1,3,0,4,1,3,1,15,939,Other parts of ancient world
2389160,446696978,acbk,One person mult,2/23/07,259,3/16/07,2/2/13,21,53,74,3508,3212,0,32,35,13,13,16,14,2,0,0,125,650,Management & auxiliary services
2409386,1593761457,acbk,little bit ruin,2/24/07,260,4/16/07,10/18/12,51,54,105,3507,3181,0,21,10,0,3,2,3,0,0,0,39,332, Financial economics
2411225,813030277,acbk,uncollected wri,2/25/07,261,5/17/07,1/5/15,81,55,136,3506,3150,0,6,1,0,0,0,1,1,2,1,12,818,American miscellaneous writings in English
2433025,156097768X,acbk,Beasts a pictor,2/26/07,262,9/1/07,2/8/14,187,56,243,3505,3043,0,20,31,26,8,8,4,5,1,0,103,741,Drawing & drawings
2386631,674996208,acbk,learned banquet,3/2/07,263,11/7/08,11/2/13,616,60,311,3501,2610,0,0,1,0,1,1,1,2,0,0,6,888,Classical Greek miscellaneous writings
2397708,446579068,acbk,Child of the ju,3/2/07,264,3/19/07,8/4/14,17,60,77,3501,3209,0,47,9,12,16,13,3,15,7,7,129,995, New Guinea & neighboring countries of Melanesia
2435015,1413305660,acbk,Fianc??????????,3/3/07,265,7/16/07,2/28/09,135,61,196,3500,3090,0,7,14,1,0,0,0,0,0,0,22,342, Constitutional & administrative law
2396007,805081526,acbk,Christine Falls,3/6/07,266,4/24/07,1/15/15,49,64,113,3497,3173,0,363,360,152,147,236,91,56,42,42,1489,560, Paleontology
2444080,785122184,acbk,She Hulk Vol 4,3/7/07,267,8/31/07,11/30/11,177,65,242,3496,3044,0,30,61,23,16,9,0,0,0,0,139,741,Drawing & drawings
