isbn,publishDate,publishOrder,bib,itemType,checkOutCount,minCheckOut,maxCheckOut,x_adoption,x_age,y_fullFrequency,y_partialFrequency,relative_age
1595550690,1/16/07,232,2399411,acbk,24,2/13/07,2/3/14,28,2575,0.932,0.9423,380
448444631,1/18/07,233,2392249,acbk,22,3/5/07,10/23/08,46,644,3.4161,3.6789,382
1580051928,1/19/07,234,2402328,acbk,182,3/5/07,9/30/14,45,2811,6.4746,6.5799,383
977197263,1/20/07,235,2396348,acbk,48,3/22/07,6/17/14,61,2705,1.7745,1.8154,384
300121032,1/24/07,236,2400707,acbk,4,3/26/07,8/15/13,61,2395,0.167,0.1714,388
811849589,1/25/07,237,2418872,acbk,100,5/17/07,1/5/13,112,2172,4.6041,4.8544,389
1402735138,1/28/07,238,2400751,acbk,67,2/24/07,1/7/15,27,2901,2.3095,2.3312,392
811216640,1/29/07,239,2396940,acbk,122,2/3/07,11/26/14,5,2858,4.2687,4.2762,393
60841869,1/30/07,240,2392391,acbk,165,2/20/07,1/21/15,21,2913,5.6643,5.7054,394
781812038,1/30/07,241,2568167,acbk,52,4/29/10,7/29/14,1185,2737,1.8999,3.3505,394
939767554,1/31/07,242,2401465,acbk,14,3/13/07,2/9/12,41,1835,0.7629,0.7804,395
9707804467,2/1/07,243,2746920,acbk,17,12/14/11,1/15/14,1777,2540,0.6693,2.228,396
786849398,2/2/07,244,2399777,jcbk,47,3/8/07,9/21/09,34,962,4.8857,5.0647,397
195313992,2/3/07,245,2411221,acbk,8,6/4/07,5/11/14,121,2654,0.3014,0.3158,398
809557363,2/4/07,246,2666078,acbk,20,7/14/10,5/19/14,1256,2661,0.7516,1.4235,399
1580801439,2/5/07,247,2405982,acbk,39,5/5/07,7/7/13,89,2344,1.6638,1.7295,400
374217009,2/6/07,248,2399448,acbk,53,3/2/07,1/16/15,24,2901,1.827,1.8422,401
787981974,2/7/07,249,2397799,acbk,72,4/5/07,12/16/14,57,2869,2.5096,2.5605,402
618735410,2/8/07,250,2389079,acbk,98,2/27/07,12/20/14,19,2872,3.4123,3.435,403
1570036608,2/9/07,251,2399407,acbk,24,3/15/07,10/28/10,34,1357,1.7686,1.8141,404
849901332,2/13/07,252,2397959,acbk,21,3/22/07,8/10/11,37,1639,1.2813,1.3109,408
098258881X,2/14/07,253,2725672,acbk,63,7/11/11,9/22/14,1608,2777,2.2686,5.3892,409
1551095696,2/14/07,254,2420253,acbk,45,8/17/07,11/10/14,184,2826,1.5924,1.7033,409
1933995009,2/16/07,255,2413935,acbk,20,5/4/07,11/28/11,77,1746,1.1455,1.1983,411
393060608,2/17/07,256,2393121,acbk,49,3/9/07,6/16/14,20,2676,1.8311,1.8449,412
892960701,2/21/07,257,2396377,acbk,80,3/12/07,1/9/12,19,1783,4.4868,4.5351,416
977416010X,2/22/07,258,2495748,acbk,14,6/30/08,11/8/14,494,2816,0.4972,0.6029,417
446696978,2/23/07,259,2389160,acbk,125,3/16/07,2/2/13,21,2171,5.7577,5.814,418
1593761457,2/24/07,260,2409386,acbk,39,4/16/07,10/18/12,51,2063,1.8905,1.9384,419
813030277,2/25/07,261,2411225,acbk,12,5/17/07,1/5/15,81,2871,0.418,0.4301,420
156097768X,2/26/07,262,2433025,acbk,103,9/1/07,2/8/14,187,2539,4.0567,4.3793,421
446579068,3/2/07,263,2397708,acbk,122,3/19/07,8/4/14,17,2712,4.4985,4.5269,425
674996208,3/2/07,264,2386631,acbk,6,11/7/08,11/2/13,616,2437,0.2462,0.3295,425
1413305660,3/3/07,265,2435015,acbk,22,7/16/07,2/28/09,135,728,3.022,3.7099,426
805081526,3/6/07,266,2396007,acbk,1448,4/24/07,1/15/15,49,2872,50.4178,51.293,429
